region,product,month,monthly_revenue,units_sold
East,Laptop,2024-01,128000,64
East,Laptop,2024-02,134000,67
East,Laptop,2024-03,119000,60
East,Monitor,2024-01,54000,90
East,Monitor,2024-02,61000,102
East,Monitor,2024-03,57000,95
West,Laptop,2024-01,145000,72
West,Laptop,2024-02,152000,76
West,Laptop,2024-03,138000,69
West,Monitor,2024-01,62000,103
West,Monitor,2024-02,70000,117
West,Monitor,2024-03,65000,108
North,Laptop,2024-01,98000,49
North,Laptop,2024-02,104000,52
North,Laptop,2024-03,91000,46
North,Monitor,2024-01,43000,72
North,Monitor,2024-02,48000,80
North,Monitor,2024-03,45000,75
South,Laptop,2024-01,112000,56
South,Laptop,2024-02,118000,59
South,Laptop,2024-03,105000,53
South,Monitor,2024-01,49000,82
South,Monitor,2024-02,55000,92
South,Monitor,2024-03,51000,85
